id,price,sale_price
307,48.0,48.0
308,65.0,
309,65.0,
310,52.0,52.0
311,64.0,64.0
312,65.0,65.0
313,59.0,59.0
314,45.0,26.98
315,50.0,50.0
316,50.0,
317,55.0,33.0
318,58.0,34.8
319,50.0,
320,52.0,36.4
321,65.0,
322,50.0,30.0
323,49.95,39.96
324,45.0,27.0
325,54.0,54.0
326,59.0,
327,54.0,54.0
328,64.0,64.0
329,65.0,
330,65.0,39.0
331,63.0,
332,59.5,59.5
333,67.0,
334,54.0,
335,55.0,55.0
336,55.0,
337,49.0,49.0
338,52.0,52.0
339,52.0,52.0
340,46.0,46.0
341,59.0,
342,66.0,
343,60.0,60.0
344,65.0,
345,59.99,59.99
346,65.0,65.0
347,60.0,60.0
348,60.0,49.99
349,56.0,35.7
350,60.0,
351,59.0,59.0
352,64.0,38.4
353,60.0,60.0
354,59.95,23.98
355,53.0,23.85
356,45.0,
357,65.0,65.0
358,58.0,58.0
359,55.0,55.0
360,65.0,65.0
361,55.0,55.0
362,64.0,64.0
363,50.0,37.5
364,54.0,54.0
365,58.0,
366,60.0,60.0
367,65.0,65.0
368,59.95,59.95
369,55.0,26.0
370,48.0,48.0
371,55.0,55.0
372,49.5,49.5
373,60.0,45.0
374,45.0,45.0
375,60.0,60.0
376,65.0,
377,60.0,39.99
378,59.0,59.0
379,59.0,59.0
380,61.0,61.0
381,55.0,
382,65.0,65.0
383,65.0,46.0
384,68.0,40.8
385,56.0,56.0
386,53.0,
387,50.0,
388,55.0,55.0
389,65.0,65.0
390,64.0,
391,60.0,51.0
392,46.0,
393,58.0,58.0
394,48.0,48.0
395,59.95,59.95
396,68.0,47.6
397,48.0,28.8
398,70.0,
399,70.0,
400,74.0,67.0
401,75.0,75.0
402,75.0,
403,79.0,59.25
404,80.0,80.0
405,75.0,75.0
406,69.5,69.5
407,75.0,52.0
408,75.0,75.0
409,69.0,
410,80.0,80.0
411,79.0,
412,79.0,78.0
413,73.0,
414,89.0,84.0
415,79.5,
416,69.0,69.0
417,78.0,78.0
418,68.0,
419,78.0,
420,68.0,68.0
421,78.0,78.0
422,78.0,
423,69.0,
424,89.0,
425,70.0,
426,78.0,50.7
427,85.0,85.0
428,88.0,43.98
429,75.0,75.0
430,88.95,88.95
431,85.0,85.0
432,75.0,
433,84.0,83.0
434,68.0,
435,79.0,75.0
436,85.0,85.0
437,88.0,88.0
438,75.0,49.99
439,85.0,85.0
440,79.95,79.95
441,88.0,88.0
442,78.0,
443,88.0,
444,78.0,78.0
445,68.95,68.95
446,76.0,76.0
447,80.0,80.0
448,69.99,69.99
449,75.0,
450,78.0,78.0
451,85.0,68.0
452,88.0,
453,78.0,78.0
454,75.0,75.0
455,85.0,85.0
456,68.0,68.0
457,79.0,79.0
458,69.0,55.0
459,88.0,
460,75.0,75.0
461,69.0,69.0
462,76.0,
463,74.0,74.0
464,88.0,66.0
465,75.0,75.0
466,88.0,
467,88.95,62.26
468,79.5,
469,69.0,41.4
470,89.0,89.0
471,74.0,74.0
472,82.0,
473,85.0,85.0
474,68.0,40.8
475,88.95,53.37
476,78.0,46.8
477,88.0,
478,78.0,54.6
479,85.0,85.0
480,85.0,
481,88.0,
482,87.0,65.25
483,72.0,72.0
484,70.0,
485,79.0,79.0
486,68.0,40.8
487,70.0,54.99
488,80.0,56.0
489,84.0,59.0
490,86.0,
491,80.0,
492,78.0,40.95
493,78.0,78.0
494,75.0,63.75
495,88.0,88.0
496,88.0,66.0
497,75.0,75.0
498,79.0,79.0
499,88.0,88.0
500,70.0,42.0
501,69.0,69.0
502,88.0,
503,69.0,
504,68.95,68.95
505,75.0,44.98
506,70.0,66.0
507,68.0,68.0
508,85.0,25.5
509,89.0,89.0
510,89.0,76.0
511,70.0,
512,88.0,88.0
513,78.0,55.0
514,68.0,68.0
515,79.0,79.0
516,78.95,46.8
517,79.0,79.0
518,74.0,74.0
519,84.0,84.0
520,76.0,
521,87.0,61.0
522,87.0,87.0
523,79.5,
524,78.0,73.49
525,88.0,
526,75.0,75.0
527,85.0,45.0
528,68.0,
529,75.0,
530,87.0,65.25
531,78.0,78.0
532,72.0,57.6
533,80.0,
534,78.0,
535,88.0,44.0
536,80.0,
537,88.0,88.0
538,69.5,55.6
539,85.0,
540,68.0,55.0
541,88.0,
542,78.0,
543,69.0,69.0
544,88.0,52.8
545,88.0,88.0
546,75.0,75.0
547,69.0,69.0
548,68.0,41.0
549,86.4,
550,80.0,
551,87.0,
552,70.0,56.0
553,79.0,79.0
554,75.0,75.0
555,80.0,
556,88.0,66.0
557,70.0,
558,75.0,37.49
559,85.0,
560,88.0,26.33
561,68.0,68.0
562,76.0,65.0
563,88.0,88.0
564,78.0,78.0
565,75.0,24.99
566,79.0,
567,69.0,
568,76.0,64.6
569,75.0,75.0
570,86.0,68.8
571,84.95,33.98
572,75.0,
573,77.0,77.0
574,69.5,
575,78.0,46.8
576,88.95,88.95
577,75.0,75.0
578,78.0,
579,85.0,
580,79.0,23.63
581,70.0,70.0
582,75.0,75.0
583,74.0,74.0
584,84.0,33.6
585,88.0,
586,88.0,88.0
587,80.0,80.0
588,70.0,49.99
589,88.0,
590,78.0,
591,75.0,
592,88.0,
593,82.0,82.0
594,79.0,79.0
595,72.0,43.2
596,70.0,
597,99.0,99.0
598,109.0,109.0
599,109.0,81.0
600,98.0,
601,95.0,95.0
602,95.0,39.97
603,108.0,
604,100.0,
605,98.0,98.0
606,95.0,66.5
607,98.0,39.2
608,95.0,95.0
609,89.5,
610,89.0,89.0
611,99.0,79.2
612,100.0,50.0
613,100.0,99.0
614,108.0,
615,93.0,93.0
616,89.0,89.0
617,95.0,95.0
618,89.5,
619,99.0,99.0
620,99.0,99.0
621,90.0,69.99
622,100.0,
623,99.0,99.0
624,109.0,
625,98.0,29.0
626,90.0,74.99
627,99.0,49.5
628,105.0,
629,99.95,99.95
630,108.0,
631,98.0,98.0
632,105.0,74.0
633,106.0,106.0
634,90.0,54.0
635,99.0,79.2
636,98.0,
637,100.0,
638,98.0,73.5
639,92.0,
640,98.5,
641,109.0,77.0
642,99.0,99.0
643,99.95,99.95
644,109.0,
645,95.0,
646,108.0,108.0
647,100.0,
648,99.0,99.0
649,99.0,99.0
650,102.0,92.0
651,95.0,95.0
652,108.0,
653,104.0,
654,91.0,91.0
655,95.0,95.0
656,89.95,89.95
657,90.0,
658,100.0,100.0
659,105.0,79.99
660,99.95,99.95
661,90.0,90.0
662,105.0,80.0
663,94.0,94.0
664,89.0,53.4
665,95.0,95.0
666,89.5,
667,98.0,98.0
668,101.0,101.0
669,90.0,90.0
670,98.0,58.8
671,90.0,
672,98.0,58.8
673,95.0,48.0
674,96.0,96.0
675,99.95,39.98
676,95.0,95.0
677,90.0,70.0
678,98.0,98.0
679,98.0,
680,99.95,49.97
681,98.0,98.0
682,90.0,
683,99.95,47.31
684,109.0,109.0
685,105.0,
686,90.0,72.0
687,99.0,
688,98.0,98.0
689,95.0,
690,105.0,63.0
691,109.0,109.0
692,96.0,96.0
693,98.0,98.0
694,99.0,
695,89.95,89.95
696,105.0,
697,100.0,
698,98.0,87.99
699,98.95,98.95
700,95.0,95.0
701,100.0,100.0
702,89.95,89.95
703,98.0,98.0
704,100.0,100.0
705,98.0,98.0
706,99.0,99.0
707,99.0,
708,94.95,94.95
709,90.0,
710,90.0,90.0
711,98.0,65.66
712,95.0,47.49
713,98.0,83.3
714,107.0,69.0
715,89.95,89.95
716,89.95,59.95
717,98.0,
718,98.95,98.95
719,102.0,
720,92.0,92.0
721,100.0,80.0
722,89.5,89.5
723,98.0,
724,96.0,
725,108.0,45.36
726,100.0,
727,98.0,98.0
728,108.0,108.0
729,99.95,99.95
730,109.0,109.0
731,98.0,80.0
732,98.0,73.5
733,99.95,39.98
734,92.0,
735,89.0,89.0
736,92.0,82.0
737,109.0,65.4
738,90.0,
739,94.95,94.95
740,99.0,99.0
741,104.0,83.0
742,109.95,59.99
743,89.5,
744,90.0,
745,105.0,
746,108.0,
747,100.0,
748,104.0,104.0
749,92.0,92.0
750,89.5,89.5
751,98.0,58.8
752,105.0,
753,100.0,100.0
754,98.95,44.5
755,100.0,
756,90.0,90.0
757,95.0,
758,96.0,96.0
759,98.0,98.0
760,91.0,82.0
761,90.0,
762,98.0,98.0
763,100.0,
764,92.0,92.0
765,92.0,74.0
766,98.0,98.0
767,93.0,93.0
768,95.0,95.0
769,100.0,
770,102.0,102.0
771,90.0,90.0
772,104.0,93.0
773,105.0,
774,98.0,98.0
775,100.0,100.0
776,100.0,
777,108.0,64.8
778,93.0,93.0
779,99.95,99.95
780,89.0,
781,89.95,35.98
782,105.0,
783,98.0,98.0
784,95.0,
785,89.95,35.98
786,99.99,
787,100.0,70.0
788,100.0,100.0
789,103.0,103.0
790,98.0,98.0
791,100.0,
792,90.0,
793,109.0,109.0
794,98.0,58.8
795,98.0,
796,125.0,99.99
797,129.0,129.0
798,125.0,
799,109.95,59.98
800,115.0,
801,118.0,82.6
802,120.0,120.0
803,115.0,
804,128.0,90.0
805,129.0,129.0
806,125.0,
807,118.0,118.0
808,127.0,
809,125.0,
810,120.0,120.0
811,115.0,
812,129.0,129.0
813,128.0,128.0
814,119.99,119.99
815,127.0,127.0
816,120.0,
817,130.0,
818,126.0,126.0
819,120.0,
820,114.0,
821,118.0,118.0
822,125.0,125.0
823,128.0,38.33
824,129.95,129.95
825,130.0,
826,125.0,125.0
827,116.0,115.0
828,115.0,
829,115.0,
830,115.0,115.0
831,125.0,125.0
832,130.0,65.0
833,115.0,115.0
834,128.0,128.0
835,119.0,119.0
836,119.95,119.95
837,130.0,109.99
838,128.0,
839,129.0,77.4
840,110.0,
841,128.0,89.6
842,126.0,126.0
843,115.0,86.25
844,119.0,83.0
845,130.0,82.88
846,114.0,
847,119.0,108.0
848,125.0,125.0
849,115.0,80.0
850,130.0,
851,110.0,43.98
852,117.0,116.0
853,130.0,
854,110.0,110.0
855,129.0,129.0
856,128.0,128.0
857,120.0,72.0
858,130.0,
859,130.0,
860,125.0,
861,123.0,123.0
862,116.0,116.0
863,128.0,
864,125.0,
865,115.0,
866,130.0,97.5
867,120.0,120.0
868,109.95,87.38
869,125.0,125.0
870,110.0,
871,120.0,
872,120.0,108.0
873,118.0,118.0
874,125.0,
875,120.0,
876,127.0,127.0
877,128.0,95.0
878,110.0,
879,125.0,125.0
880,119.0,119.0
881,115.0,115.0
882,128.0,76.8
883,114.95,92.0
884,120.0,120.0
885,125.0,
886,115.0,115.0
887,110.0,110.0
888,115.0,115.0
889,125.0,93.75
890,120.0,120.0
891,128.0,76.8
892,125.0,
893,115.0,
894,110.0,77.0
895,115.0,
896,115.0,115.0
897,112.0,112.0
898,127.0,114.0
899,110.0,
900,119.95,119.95
901,119.0,
902,128.0,128.0
903,120.0,120.0
904,119.95,119.95
905,129.0,129.0
906,125.0,125.0
907,120.0,72.0
908,128.0,128.0
909,120.0,120.0
910,128.0,128.0
911,129.0,
912,125.0,125.0
913,128.0,128.0
914,120.0,120.0
915,128.0,115.0
916,125.0,61.0
917,110.0,57.75
918,125.0,
919,125.0,75.0
920,120.0,120.0
921,120.0,
922,119.0,119.0
923,127.0,120.0
924,109.95,43.98
925,129.0,
926,125.0,
927,119.0,83.3
928,110.0,109.95
929,119.95,119.95
930,130.0,
931,129.0,
932,115.0,
933,120.0,120.0
934,119.0,71.4
935,129.0,129.0
936,119.0,119.0
937,123.0,123.0
938,128.0,128.0
939,115.0,115.0
940,128.0,
941,120.0,
942,120.0,
943,128.0,128.0
944,128.0,76.8
945,125.0,125.0
946,115.0,115.0
947,125.0,
948,130.0,51.98
949,130.0,130.0
950,115.0,
951,116.0,81.0
952,125.0,94.0
953,120.0,120.0
954,110.0,
955,128.0,102.4
956,120.0,120.0
957,120.0,
958,130.0,130.0
959,110.0,
960,130.0,78.0
961,115.0,34.43
962,129.0,129.0
963,130.0,
964,125.0,75.0
965,130.0,130.0
966,124.95,107.9
967,125.0,125.0
968,119.0,119.0
969,130.0,129.0
970,117.0,117.0
971,130.0,
972,118.0,
973,119.95,119.95
974,116.0,104.0
975,129.0,129.0
976,110.0,110.0
977,124.0,
978,125.0,65.63
979,116.0,116.0
980,125.0,125.0
981,115.0,115.0
982,110.0,82.46
983,128.0,49.99
984,118.0,
985,115.0,69.0
986,122.0,122.0
987,109.95,109.95
988,125.0,
989,128.0,128.0
990,119.95,47.98
991,130.0,
992,129.0,129.0
993,129.98,
994,119.95,119.95
995,138.0,96.6
996,145.0,145.0
997,151.0,144.0
998,145.0,145.0
999,150.0,150.0
1000,152.0,152.0
1001,138.0,138.0
1002,138.0,82.8
1003,150.0,
1004,154.0,154.0
1005,155.0,
1006,159.0,159.0
1007,156.0,156.0
1008,145.0,145.0
1009,145.0,145.0
1010,138.0,138.0
1011,150.0,150.0
1012,155.0,155.0
1013,145.0,145.0
1014,159.0,159.0
1015,149.0,96.85
1016,143.0,
1017,150.0,150.0
1018,150.0,150.0
1019,158.0,110.6
1020,154.0,154.0
1021,148.0,88.8
1022,150.0,150.0
1023,142.0,142.0
1024,151.0,
1025,145.0,108.75
1026,150.0,
1027,145.0,116.0
1028,132.0,
1029,138.0,41.33
1030,150.0,
1031,138.0,110.4
1032,135.0,135.0
1033,150.0,
1034,141.0,113.0
1035,138.0,138.0
1036,150.0,150.0
1037,150.0,
1038,149.0,
1039,155.0,
1040,145.0,145.0
1041,150.0,75.0
1042,140.0,
1043,150.0,
1044,150.0,
1045,155.0,92.98
1046,150.0,
1047,149.0,149.0
1048,138.0,114.99
1049,144.95,81.2
1050,145.0,
1051,149.0,149.0
1052,139.0,
1053,145.0,145.0
1054,150.0,89.9
1055,139.0,
1056,145.0,145.0
1057,130.0,
1058,138.0,138.0
1059,158.0,63.2
1060,132.0,
1061,135.0,135.0
1062,148.0,103.6
1063,159.0,159.0
1064,138.0,138.0
1065,140.0,
1066,150.0,
1067,150.0,74.99
1068,138.0,138.0
1069,156.0,
1070,158.0,
1071,135.0,
1072,150.0,105.0
1073,137.0,137.0
1074,149.0,149.0
1075,144.0,
1076,139.0,139.0
1077,135.0,
1078,148.0,
1079,146.0,131.0
1080,140.0,70.0
1081,149.0,149.0
1082,150.0,
1083,135.0,135.0
1084,150.0,
1085,138.0,138.0
1086,145.0,
1087,155.0,155.0
1088,138.0,138.0
1089,144.0,144.0
1090,140.0,83.98
1091,145.0,
1092,145.0,
1093,159.0,159.0
1094,135.0,135.0
1095,136.0,95.0
1096,148.0,148.0
1097,148.0,111.0
1098,145.0,
1099,150.0,
1100,138.95,138.95
1101,135.0,
1102,135.0,135.0
1103,149.95,149.95
1104,158.0,94.8
1105,150.0,
1106,140.0,
1107,132.0,
1108,138.0,
1109,154.0,146.0
1110,140.0,140.0
1111,150.0,
1112,138.0,
1113,148.0,148.0
1114,148.0,118.4
1115,149.99,
1116,135.0,
1117,138.0,138.0
1118,139.0,112.0
1119,140.0,
1120,137.0,130.0
1121,150.0,
1122,148.0,148.0
1123,150.0,119.96
1124,150.0,135.0
1125,144.0,
1126,154.0,108.0
1127,134.99,
1128,158.0,94.8
1129,139.0,
1130,138.0,104.0
1131,150.0,
1132,138.0,
1133,138.0,
1134,150.0,150.0
1135,147.0,103.0
1136,149.0,149.0
1137,135.0,
1138,149.0,44.63
1139,145.0,145.0
1140,137.0,
1141,150.0,73.0
1142,135.0,135.0
1143,158.0,95.0
1144,145.0,108.0
1145,150.0,
1146,150.0,150.0
1147,141.0,141.0
1148,148.0,
1149,144.0,
1150,150.0,150.0
1151,138.95,63.98
1152,136.0,82.0
