,brands,prices,sale,tier
640,Polo Ralph Lauren,98.5,,0 1 0
641,Versace,109.0,77.0,0 1 0
642,Vince Camuto,99.0,99.0,0 1 0
643,Keen,99.95,99.95,0 1 0
644,adidas,109.0,,0 1 0
645,Charlotte Simone,95.0,,0 1 0
646,Free People,108.0,108.0,0 1 0
647,Supreme,100.0,,0 1 0
648,JEN7 by 7 For All Mankind,99.0,99.0,0 1 0
649,Vince Camuto,99.0,99.0,0 1 0
650,Nike,102.0,92.0,0 1 0
651,adidas,95.0,95.0,0 1 0
652,Nike,108.0,,0 1 0
653,Supreme,104.0,,0 1 0
654,Massimo Alba,91.0,91.0,0 1 0
655,Paul Smith,95.0,95.0,0 1 0
656,Billabong,89.95,89.95,0 1 0
657,Match,90.0,,0 1 0
658,Gucci,100.0,100.0,0 1 0
659,Hudson Park Collection,105.0,79.99,0 1 0
660,Merrell,99.95,99.95,0 1 0
661,Marcelo Burlon County of Milan,90.0,90.0,0 1 0
662,adidas,105.0,80.0,0 1 0
663,Jag Jeans,94.0,94.0,0 1 0
664,ModCloth,89.0,53.4,0 1 0
665,Paul Smith,95.0,95.0,0 1 0
666,Polo Ralph Lauren,89.5,,0 1 0
667,Magnanni,98.0,98.0,0 1 0
668,Northskull,101.0,101.0,0 1 0
669,Boden,90.0,90.0,0 1 0
670,BLANKNYC,98.0,58.8,0 1 0
671,Puma,90.0,,0 1 0
672,Vix,98.0,58.8,0 1 0
673,Karl Lagerfeld,95.0,48.0,0 1 0
674,Paul Smith,96.0,96.0,0 1 0
675,Bella Vita,99.95,39.98,0 1 0
676,Topshop,95.0,95.0,1 0 0
677,Topman,90.0,70.0,1 0 0
678,Levi's,98.0,98.0,0 1 0
679,John Varvatos,98.0,,0 1 0
680,Vionic,99.95,49.97,0 1 0
681,W.R.K,98.0,98.0,0 1 0
682,Hermes,90.0,,0 1 0
683,Bella Vita,99.95,47.31,0 1 0
684,Supreme,109.0,109.0,0 1 0
685,BIOEFFECT,105.0,,0 1 0
686,FILA,90.0,72.0,0 1 0
687,Cosabella,99.0,,0 1 0
688,Tori Richard,98.0,98.0,0 1 0
689,Moser,95.0,,0 1 0
690,Rachel Comey,105.0,63.0,0 1 0
691,Jordan,109.0,109.0,0 1 0
692,adidas,96.0,96.0,0 1 0
693,BLANKNYC,98.0,98.0,0 1 0
694,Karl Lagerfeld Paris,99.0,,0 1 0
695,Vionic,89.95,89.95,0 1 0
696,Cire Trudon,105.0,,0 1 0
697,Nike,100.0,,0 1 0
698,J.Crew,98.0,87.99,0 1 0
699,Naturalizer,98.95,98.95,0 1 0
700,VIETRI,95.0,95.0,0 1 0
701,Florsheim,100.0,100.0,0 1 0
702,Bogs,89.95,89.95,0 1 0
703,Tory Burch,98.0,98.0,0 1 0
704,Universal Standard,100.0,100.0,0 1 0
705,Sol Angeles,98.0,98.0,0 1 0
706,Tiger Mist,99.0,99.0,0 1 0
707,Vitamin A,99.0,,0 1 0
708,Tom & Teddy,94.95,94.95,0 1 0
709,Arte Italica,90.0,,0 1 0
710,Omorovicza,90.0,90.0,0 1 0
711,John Varvatos,98.0,65.66,0 1 0
712,Robert Barakett,95.0,47.49,0 1 0
713,Vix,98.0,83.3,0 1 0
714,Converse,107.0,69.0,0 1 0
715,TravisMathew,89.95,89.95,0 1 0
716,J. Renee,89.95,59.95,0 1 0
717,Tracie Martyn,98.0,,0 1 0
718,BUENO,98.95,98.95,0 1 0
719,Dior,102.0,,0 1 0
720,Brooks Brothers,92.0,92.0,0 1 0
721,Le Creuset,100.0,80.0,0 1 0
722,Lou & Grey,89.5,89.5,0 1 0
723,Boss Hugo Boss,98.0,,0 1 0
724,Forzieri,96.0,,0 1 0
725,Eileen Fisher,108.0,45.36,0 1 0
726,William Yeoward,100.0,,0 1 0
727,Mavi Jeans,98.0,98.0,0 1 0
728,Eliza J,108.0,108.0,0 1 0
729,Angel Maternity,99.95,99.95,0 1 0
730,Jordan,109.0,109.0,0 1 0
731,Topman,98.0,80.0,1 0 0
732,Mavi Jeans,98.0,73.5,0 1 0
733,CaslonR,99.95,39.98,0 1 0
734,Lspace,92.0,,0 1 0
735,Nordstrom,89.0,89.0,1 0 0
736,EDWIN,92.0,82.0,0 1 0
737,Badgley Mischka,109.0,65.4,0 1 0
738,Dr. Vranjes,90.0,,0 1 0
739,TOMS,94.95,94.95,0 1 0
740,Fraiche by J,99.0,99.0,0 1 0
741,Monnalisa,104.0,83.0,0 1 0
742,Naturalizer,109.95,59.99,0 1 0
743,Calvin Klein,89.5,,0 1 0
744,Forzieri,90.0,,0 1 0
745,diptyque,105.0,,0 1 0
746,NIC+ZOE,108.0,,0 1 0
747,Nike,100.0,,0 1 0
748,James Perse,104.0,104.0,0 1 0
749,Jimmy Choo,92.0,92.0,0 1 0
750,Lucky Brand,89.5,89.5,0 1 0
751,Alex Mill,98.0,58.8,0 1 0
752,Nike,105.0,,0 1 0
753,Levis,100.0,100.0,0 1 0
754,evolve,98.95,44.5,0 1 0
755,BAPE,100.0,,0 1 0
756,Polo Ralph Lauren,90.0,90.0,0 1 0
757,Ted Baker,95.0,,0 1 0
758,Closed,96.0,96.0,0 1 0
759,Hanro,98.0,98.0,0 1 0
760,Majestic Filatures,91.0,82.0,0 1 0
761,Reebok By Victoria Beckham,90.0,,0 1 0
762,Stussy,98.0,98.0,0 1 0
763,Nike,100.0,,0 1 0
764,Brooks Brothers,92.0,92.0,0 1 0
765,New Balance,92.0,74.0,0 1 0
766,BLANKNYC,98.0,98.0,0 1 0
767,Matteau,93.0,93.0,0 1 0
768,YMC,95.0,95.0,0 1 0
769,Jean Patou,100.0,,0 1 0
770,Orciani,102.0,102.0,0 1 0
771,Christian Louboutin,90.0,90.0,0 1 0
772,adidas by Stella McCartney,104.0,93.0,0 1 0
773,Guerlain,105.0,,0 1 0
774,Faherty,98.0,98.0,0 1 0
775,New Balance,100.0,100.0,0 1 0
776,Elrene Home Fashions,100.0,,0 1 0
777,Lysse,108.0,64.8,0 1 0
778,Moschino,93.0,93.0,0 1 0
779,David Tate,99.95,99.95,0 1 0
780,Aubade Paris,89.0,,0 1 0
781,HalogenR,89.95,35.98,0 1 0
782,BAPE,105.0,,0 1 0
783,Lilly PulitzerR,98.0,98.0,0 1 0
784,Georg Jensen,95.0,,0 1 0
785,BP.,89.95,35.98,0 1 0
786,Shun,99.99,,0 1 0
787,Puma,100.0,70.0,0 1 0
788,Cutter & Buck,100.0,100.0,0 1 0
789,Vans,103.0,103.0,0 1 0
790,Kris Nations,98.0,98.0,0 1 0
791,Sandalboyz,100.0,,0 1 0
792,Karl Kani,90.0,,0 1 0
793,New Balance,109.0,109.0,0 1 0
794,J.Crew,98.0,58.8,0 1 0
795,Seven7,98.0,,0 1 0
796,Donna Karan,125.0,99.99,0 1 0
797,Longchamp,129.0,129.0,0 1 0
798,Nike,125.0,,0 1 0
799,ELOQUII,109.95,59.98,0 1 0
800,Nike,115.0,,0 1 0
801,Karen Kane,118.0,82.6,0 1 0
802,John Elliott,120.0,120.0,0 1 0
803,Peacock Alley,115.0,,0 1 0
804,FILA,128.0,90.0,0 1 0
805,NYDJ,129.0,129.0,0 1 0
806,Comme des Garcons,125.0,,0 1 0
807,Rebecca Minkoff,118.0,118.0,0 1 0
808,Goutal Paris,127.0,,0 1 0
809,SFERRA,125.0,,0 1 0
810,Gucci,120.0,120.0,0 1 0
811,ISABEL MARANT,115.0,,0 1 0
812,Nike,129.0,129.0,0 1 0
813,Agent Provocateur,128.0,128.0,0 1 0
814,Villa Home Collection,119.99,119.99,0 1 0
815,Boss Hugo Boss,127.0,127.0,0 1 0
816,adidas,120.0,,0 1 0
817,Ewing Athletics,130.0,,0 1 0
818,Gas Bijoux,126.0,126.0,0 1 0
819,Supreme,120.0,,0 1 0
820,Supreme,114.0,,0 1 0
821,REFORMATION,118.0,118.0,0 1 0
822,Paul Smith,125.0,125.0,0 1 0
823,French Connection,128.0,38.33,0 1 0
824,cupcakes and cashmere,129.95,129.95,0 1 0
825,Nike,130.0,,0 1 0
826,Lorenzo Uomo,125.0,125.0,0 1 0
827,Tommy Hilfiger,116.0,115.0,0 1 0
828,Nike,115.0,,0 1 0
829,K-Swiss,115.0,,0 1 0
830,Gitman Vintage,115.0,115.0,0 1 0
831,COACH,125.0,125.0,0 1 0
832,Villeroy & Boch,130.0,65.0,0 1 0
833,Dsquared2,115.0,115.0,0 1 0
834,Current/Elliott,128.0,128.0,0 1 0
835,Bleu Rod Beattie,119.0,119.0,0 1 0
836,L'Artiste by Spring Step,119.95,119.95,0 1 0
837,Nike,130.0,109.99,0 1 0
838,NIC+ZOE,128.0,,0 1 0
839,Bugatchi,129.0,77.4,0 1 0
840,BAPE,110.0,,0 1 0
841,NIC+ZOE,128.0,89.6,0 1 0
842,Tory Burch,126.0,126.0,0 1 0
843,rag & bone,115.0,86.25,0 1 0
844,Whistles,119.0,83.0,0 1 0
845,Vitamin A,130.0,82.88,0 1 0
846,Nike,114.0,,0 1 0
847,Versace,119.0,108.0,0 1 0
848,Rick Owens,125.0,125.0,0 1 0
849,Lipault - Paris,115.0,80.0,0 1 0
850,Emporio Armani,130.0,,0 1 0
851,Michael Kors,110.0,43.98,0 1 0
852,Universal Works,117.0,116.0,0 1 0
853,Lise Charmel,130.0,,0 1 0
854,Beach Riot,110.0,110.0,0 1 0
855,CeCe,129.0,129.0,0 1 0
856,Free People,128.0,128.0,0 1 0
857,ISABEL MARANT,120.0,72.0,0 1 0
858,adidas Originals,130.0,,0 1 0
859,Nike,130.0,,0 1 0
860,Polo Ralph Lauren,125.0,,0 1 0
861,Missoma,123.0,123.0,0 1 0
862,Lancaster,116.0,116.0,0 1 0
863,Generation Love,128.0,,0 1 0
864,Roja Parfums,125.0,,0 1 0
865,Michael Aram,115.0,,0 1 0
866,Sorrelli,130.0,97.5,0 1 0
867,ERL,120.0,120.0,0 1 0
868,Trotters,109.95,87.38,0 1 0
869,Alpha Industries,125.0,125.0,0 1 0
870,Puma,110.0,,0 1 0
871,Supreme,120.0,,0 1 0
872,Timberland,120.0,108.0,0 1 0
873,Rebecca Minkoff,118.0,118.0,0 1 0
874,Nike,125.0,,0 1 0
875,adidas,120.0,,0 1 0
876,Invicta,127.0,127.0,0 1 0
877,Kendra Scott,128.0,95.0,0 1 0
878,SFERRA,110.0,,0 1 0
879,Lorenzo Uomo,125.0,125.0,0 1 0
880,Opening Ceremony,119.0,119.0,0 1 0
881,SKIN REGIMEN,115.0,115.0,0 1 0
882,Madewell,128.0,76.8,0 1 0
883,Melissa,114.95,92.0,0 1 0
884,adidas Originals,120.0,120.0,0 1 0
885,Olivia Burton,125.0,,0 1 0
886,David Donahue,115.0,115.0,0 1 0
887,RVCA,110.0,110.0,0 1 0
888,Suicoke,115.0,115.0,0 1 0
889,Paul Smith,125.0,93.75,0 1 0
890,J.Crew,120.0,120.0,0 1 0
891,Boss Hugo Boss,128.0,76.8,0 1 0
892,Comme des Garcons,125.0,,0 1 0
893,STATE Bags,115.0,,0 1 0
894,Karl Lagerfeld,110.0,77.0,0 1 0
895,Nadri,115.0,,0 1 0
896,Lanvin,115.0,115.0,0 1 0
897,Majestic Filatures,112.0,112.0,0 1 0
898,Kappa,127.0,114.0,0 1 0
899,Nike,110.0,,0 1 0
900,Rockport,119.95,119.95,0 1 0
901,Supreme,119.0,,0 1 0
902,Represent,128.0,128.0,0 1 0
903,The North Face,120.0,120.0,0 1 0
904,Camper,119.95,119.95,0 1 0
905,adidas,129.0,129.0,0 1 0
906,Nike,125.0,125.0,0 1 0
907,Karl Lagerfeld,120.0,72.0,0 1 0
908,Asics,128.0,128.0,0 1 0
909,Red Wing,120.0,120.0,0 1 0
910,Tahari,128.0,128.0,0 1 0
911,Vince Camuto,129.0,,0 1 0
912,Balenciaga,125.0,125.0,0 1 0
913,Diesel,128.0,128.0,0 1 0
914,Schott NYC,120.0,120.0,0 1 0
915,Carhartt Work In Progress,128.0,115.0,0 1 0
916,Lise Charmel,125.0,61.0,0 1 0
917,Cole Haan,110.0,57.75,0 1 0
918,Nike,125.0,,0 1 0
919,7 For All Mankind,125.0,75.0,0 1 0
920,Burberry,120.0,120.0,0 1 0
921,The Art of Shaving,120.0,,0 1 0
922,Ted Baker,119.0,119.0,0 1 0
923,Begg & Co,127.0,120.0,0 1 0
924,CaslonR,109.95,43.98,0 1 0
925,Vans,129.0,,0 1 0
926,Polo Ralph Lauren,125.0,,0 1 0
927,Liverpool,119.0,83.3,0 1 0
928,UGG,110.0,109.95,0 1 0
929,Joules,119.95,119.95,0 1 0
930,BAPE,130.0,,0 1 0
931,Kenneth Cole,129.0,,0 1 0
932,Tommy Bahama,115.0,,0 1 0
933,Reiss,120.0,120.0,0 1 0
934,City Chic,119.0,71.4,0 1 0
935,Nike,129.0,129.0,0 1 0
936,Ted Baker,119.0,119.0,0 1 0
937,Diesel Kids,123.0,123.0,0 1 0
938,Levi's,128.0,128.0,0 1 0
939,Mezlan,115.0,115.0,0 1 0
940,Nadri,128.0,,0 1 0
941,Nike,120.0,,0 1 0
942,Jordan,120.0,,0 1 0
943,Levi's,128.0,128.0,0 1 0
944,Free People,128.0,76.8,0 1 0
945,Ermenegildo Zegna,125.0,125.0,0 1 0
946,MARIA BLACK,115.0,115.0,0 1 0
947,adidas,125.0,,0 1 0
948,Cole Haan,130.0,51.98,0 1 0
949,Nike,130.0,130.0,0 1 0
950,Alessi,115.0,,0 1 0
951,adidas,116.0,81.0,0 1 0
952,Emporio Armani,125.0,94.0,0 1 0
953,adidas Originals,120.0,120.0,0 1 0
954,Supreme,110.0,,0 1 0
955,Free People,128.0,102.4,0 1 0
956,Reigning Champ,120.0,120.0,0 1 0
957,Maison Kitsune,120.0,,0 1 0
958,Brooks,130.0,130.0,0 1 0
959,Nike,110.0,,0 1 0
960,Zac Zac Posen,130.0,78.0,0 1 0
961,Lna,115.0,34.43,0 1 0
962,Anne Klein,129.0,129.0,0 1 0
963,Bond No. 9 New York,130.0,,0 1 0
964,Tommy Bahama,125.0,75.0,0 1 0
965,Topman,130.0,130.0,1 0 0
966,Dansko,124.95,107.9,0 1 0
967,Longchamp,125.0,125.0,0 1 0
968,The North Face,119.0,119.0,0 1 0
969,Reebok,130.0,129.0,0 1 0
970,Givenchy,117.0,117.0,0 1 0
971,Saucony,130.0,,0 1 0
972,Sol Angeles,118.0,,0 1 0
973,Franco Sarto,119.95,119.95,0 1 0
974,Fred Perry x Raf Simons,116.0,104.0,0 1 0
975,Timbuk2,129.0,129.0,0 1 0
976,THE GREAT.,110.0,110.0,0 1 0
977,Miraclesuit Plus,124.0,,0 1 0
978,French Connection,125.0,65.63,0 1 0
979,Fred Perry,116.0,116.0,0 1 0
980,Pom Pom at Home,125.0,125.0,0 1 0
981,Karl Lagerfeld,115.0,115.0,0 1 0
982,Florsheim,110.0,82.46,0 1 0
983,Madewell,128.0,49.99,0 1 0
984,Seiko,118.0,,0 1 0
985,Tommy Bahama,115.0,69.0,0 1 0
986,Stussy,122.0,122.0,0 1 0
987,Rockport Cobb Hill,109.95,109.95,0 1 0
988,Roja Parfums,125.0,,0 1 0
989,Lauren Ralph Lauren,128.0,128.0,0 1 0
990,Sam Edelman,119.95,47.98,0 1 0
991,Casio,130.0,,0 1 0
992,Nike,129.0,129.0,0 1 0
993,Kenneth Mink,129.98,,0 1 0
994,J. Renee,119.95,119.95,0 1 0
995,Johnny Was,138.0,96.6,0 1 0
996,Vans,145.0,145.0,0 1 0
997,Tommy Hilfiger,151.0,144.0,0 1 0
998,Diesel,145.0,145.0,0 1 0
999,Cole Haan,150.0,150.0,0 1 0
1000,Ray-Ban,152.0,152.0,0 1 0
1001,Taylor Dresses,138.0,138.0,0 1 0
1002,Hugo,138.0,82.8,0 1 0
1003,Reebok,150.0,,0 1 0
1004,Salvatore Ferragamo,154.0,154.0,0 1 0
1005,Nike,155.0,,0 1 0
1006,GOOD AMERICAN,159.0,159.0,0 1 0
1007,Jonas Studio,156.0,156.0,0 1 0
1008,Nike,145.0,145.0,0 1 0
1009,David Donahue,145.0,145.0,0 1 0
1010,Boss Hugo Boss,138.0,138.0,0 1 0
1011,ALLSAINTS,150.0,150.0,0 1 0
1012,Givenchy,155.0,155.0,0 1 0
1013,Emporio Armani,145.0,145.0,0 1 0
1014,Ever New,159.0,159.0,0 1 0
1015,Safavieh,149.0,96.85,0 1 0
1016,Nike,143.0,,0 1 0
1017,Endless Rose,150.0,150.0,0 1 0
1018,COACH,150.0,150.0,0 1 0
1019,Joe's Jeans,158.0,110.6,0 1 0
1020,Emporio Armani,154.0,154.0,0 1 0
1021,Eliza J,148.0,88.8,0 1 0
1022,Supreme,150.0,150.0,0 1 0
1023,LOREN STEWART,142.0,142.0,0 1 0
1024,Puma,151.0,,0 1 0
1025,Bashian,145.0,108.75,0 1 0
1026,Stella McCartney,150.0,,0 1 0
1027,Mini Rodini,145.0,116.0,0 1 0
1028,Lancaster Paris,132.0,,0 1 0
1029,Eliza J,138.0,41.33,0 1 0
1030,Fear of God,150.0,,0 1 0
1031,Sam Edelman,138.0,110.4,0 1 0
1032,KENZO,135.0,135.0,0 1 0
1033,Reed & Barton,150.0,,0 1 0
1034,Michael Kors,141.0,113.0,0 1 0
1035,Woolrich,138.0,138.0,0 1 0
1036,Neil Barrett,150.0,150.0,0 1 0
1037,Van Cleef & Arpels,150.0,,0 1 0
1038,7 For All Mankind,149.0,,0 1 0
1039,BAPE,155.0,,0 1 0
1040,Maison Kitsune,145.0,145.0,0 1 0
1041,LNDR,150.0,75.0,0 1 0
1042,Natori,140.0,,0 1 0
1043,Reebok,150.0,,0 1 0
1044,Supreme,150.0,,0 1 0
1045,Ted Baker,155.0,92.98,0 1 0
1046,Palace,150.0,,0 1 0
1047,Anine Bing,149.0,149.0,0 1 0
1048,Waterworks,138.0,114.99,0 1 0
1049,J/slides,144.95,81.2,0 1 0
1050,Armani,145.0,,0 1 0
1051,Ted Baker,149.0,149.0,0 1 0
1052,Supreme,139.0,,0 1 0
1053,Sam Edelman,145.0,145.0,0 1 0
1054,Sandro Moscoloni,150.0,89.9,0 1 0
1055,Nike,139.0,,0 1 0
1056,David Donahue,145.0,145.0,0 1 0
1057,Dodo,130.0,,0 1 0
1058,Maggy London,138.0,138.0,0 1 0
1059,Eileen Fisher,158.0,63.2,0 1 0
1060,Florence Eiseman,132.0,,0 1 0
1061,Saturdays NYC,135.0,135.0,0 1 0
1062,Botkier,148.0,103.6,0 1 0
1063,Ader Error,159.0,159.0,0 1 0
1064,Astr The Label,138.0,138.0,0 1 0
1065,Fendi,140.0,,0 1 0
1066,adidas,150.0,,0 1 0
1067,Topshop,150.0,74.99,1 0 0
1068,Carhartt Work In Progress,138.0,138.0,0 1 0
1069,Palace,156.0,,0 1 0
1070,AZ Collection,158.0,,0 1 0
1071,Colbert Md,135.0,,0 1 0
1072,Topshop,150.0,105.0,1 0 0
1073,Orciani,137.0,137.0,0 1 0
1074,Ragdoll,149.0,149.0,0 1 0
1075,FILA,144.0,,0 1 0
1076,CeCe,139.0,139.0,0 1 0
1077,Mvmt,135.0,,0 1 0
1078,Boss Hugo Boss,148.0,,0 1 0
1079,Moschino,146.0,131.0,0 1 0
1080,Karen Millen,140.0,70.0,0 1 0
1081,Morgan & Co.,149.0,149.0,0 1 0
1082,Supreme,150.0,,0 1 0
1083,Calvin Klein Jeans,135.0,135.0,0 1 0
1084,Nike,150.0,,0 1 0
1085,Fleur du Mal,138.0,138.0,0 1 0
1086,Takashi Murakami,145.0,,0 1 0
1087,Saskia Diez,155.0,155.0,0 1 0
1088,Lilly PulitzerR,138.0,138.0,0 1 0
1089,Save The Duck,144.0,144.0,0 1 0
1090,Mara Hoffman,140.0,83.98,0 1 0
1091,Nike,145.0,,0 1 0
1092,BAPE,145.0,,0 1 0
1093,GOOD AMERICAN,159.0,159.0,0 1 0
1094,Tommy Bahama,135.0,135.0,0 1 0
1095,Underprotection,136.0,95.0,0 1 0
1096,Free People,148.0,148.0,0 1 0
1097,Hanro,148.0,111.0,0 1 0
1098,Donna Karan,145.0,,0 1 0
1099,Puma,150.0,,0 1 0
1100,Enzo Angiolini,138.95,138.95,0 1 0
1101,Puma,135.0,,0 1 0
1102,Volcom,135.0,135.0,0 1 0
1103,ONO,149.95,149.95,0 1 0
1104,Botkier,158.0,94.8,0 1 0
1105,Jordan,150.0,,0 1 0
1106,Nest Fragrances,140.0,,0 1 0
1107,Supreme,132.0,,0 1 0
1108,Boss Hugo Boss,138.0,,0 1 0
1109,Heron Preston,154.0,146.0,0 1 0
1110,Mara Hoffman,140.0,140.0,0 1 0
1111,Under Armour,150.0,,0 1 0
1112,Tory Burch,138.0,,0 1 0
1113,A.P.C.,148.0,148.0,0 1 0
1114,NIC+ZOE,148.0,118.4,0 1 0
1115,Krups,149.99,,0 1 0
1116,Matouk,135.0,,0 1 0
1117,Maceoo,138.0,138.0,0 1 0
1118,Sam Edelman,139.0,112.0,0 1 0
1119,SFERRA,140.0,,0 1 0
1120,Tommy Jeans,137.0,130.0,0 1 0
1121,Supreme,150.0,,0 1 0
1122,NIC+ZOE,148.0,148.0,0 1 0
1123,Nike,150.0,119.96,0 1 0
1124,Maison Kitsune,150.0,135.0,0 1 0
1125,Penhaligon's,144.0,,0 1 0
1126,Emporio Armani,154.0,108.0,0 1 0
1127,Zwilling J.a. Henckels,134.99,,0 1 0
1128,Rebecca Minkoff,158.0,94.8,0 1 0
1129,Aubade Paris,139.0,,0 1 0
1130,Puma,138.0,104.0,0 1 0
1131,Kith,150.0,,0 1 0
1132,Michael Stars,138.0,,0 1 0
1133,BCBG,138.0,,0 1 0
1134,ROSSIGNOL,150.0,150.0,0 1 0
1135,Roberto Cavalli,147.0,103.0,0 1 0
1136,Pom Pom at Home,149.0,149.0,0 1 0
1137,adidas,135.0,,0 1 0
1138,Sanctuary,149.0,44.63,0 1 0
1139,Stone Island,145.0,145.0,0 1 0
1140,adidas,137.0,,0 1 0
1141,Milly Minis,150.0,73.0,0 1 0
1142,Cold Picnic,135.0,135.0,0 1 0
1143,Orlebar Brown,158.0,95.0,0 1 0
1144,Norma Kamali,145.0,108.0,0 1 0
1145,Michael Aram,150.0,,0 1 0
1146,COACH,150.0,150.0,0 1 0
1147,New Balance,141.0,141.0,0 1 0
1148,BCBG,148.0,,0 1 0
1149,Rails,144.0,,0 1 0
1150,Opening Ceremony,150.0,150.0,0 1 0
1151,CC Corso Como,138.95,63.98,0 1 0
1152,Nike,136.0,82.0,0 1 0
1153,Maree Pour Toi,149.0,149.0,0 1 0
1154,Northskull,154.0,154.0,0 1 0
1155,Aqua,132.0,,0 1 0
1156,Supreme,140.0,,0 1 0
1157,Ray-Ban,155.0,155.0,0 1 0
1158,Jiwinaia,130.0,130.0,0 1 0
1159,Geox,139.95,83.99,0 1 0
1160,Bonpoint,136.0,95.0,0 1 0
1161,Sam Edelman,148.0,148.0,0 1 0
1162,Johnston & Murphy,159.0,159.0,0 1 0
1163,BAPE,131.0,,0 1 0
1164,Hestra,150.0,105.0,0 1 0
1165,Andre Assous,138.95,138.95,0 1 0
1166,Off-White,150.0,,0 1 0
1167,Jessica Simpson,158.95,95.37,0 1 0
1168,J Brand,148.0,148.0,0 1 0
1169,LHD,150.0,,0 1 0
1170,Orciani,133.0,133.0,0 1 0
1171,Tous,139.0,,0 1 0
1172,OVADIA & SONS,140.0,140.0,0 1 0
1173,John Varvatos,148.0,148.0,0 1 0
1174,Boden,150.0,90.0,0 1 0
1175,Travelpro,140.0,69.99,0 1 0
1176,Asics,143.0,,0 1 0
1177,Nike,155.0,155.0,0 1 0
1178,Rockport,139.95,139.95,0 1 0
1179,Closed,158.0,137.0,0 1 0
1180,Estelle,148.0,169.0,0 1 0
1181,BAPE,158.0,,0 1 0
1182,All-Clad,155.0,39.99,0 1 0
1183,KENZO,135.0,135.0,0 1 0
1184,Nike,140.0,,0 1 0
1185,Bugatchi,149.0,89.4,0 1 0
1186,NIC+ZOE,148.0,148.0,0 1 0
1187,Salvatore Ferragamo,155.0,155.0,0 1 0
1188,Sarto by Franco Sarto,138.95,138.95,0 1 0
1189,Fendi,140.0,140.0,0 1 0
1190,7 For All Mankind,159.0,,0 1 0
1191,UGG,139.95,139.95,0 1 0
1192,Asics,149.95,74.96,0 1 0
1193,Nike,149.0,149.0,0 1 0
1194,adidas,180.0,144.99,0 1 0
1195,Michael Kors,182.0,182.0,0 1 0
1196,Acqua di Parma,171.0,171.0,0 1 0
1197,Mcq Alexander Mcqueen,175.0,,0 1 0
1198,Eliza J,168.0,168.0,0 1 0
1199,Laundry by Shelli Segal,178.0,133.5,0 1 0
1200,Armani Exchange,165.0,,0 1 0
1201,KENZO,180.0,,0 1 0
1202,Il Gufo,160.0,160.0,0 1 0
1203,Palace,164.0,,0 1 0
1204,42 GOLD,184.95,184.95,0 1 0
1205,Bulova,168.0,,0 1 0
1206,Jeff,185.0,123.95,0 1 0
1207,Off-White,190.0,190.0,0 1 0
1208,Supreme,189.0,,0 1 0
1209,Nike,164.0,,0 1 0
1210,Supreme,186.0,,0 1 0
1211,Chan Luu,170.0,170.0,0 1 0
1212,Palace,180.0,,0 1 0
1213,A.L.C.,165.0,,0 1 0
1214,3x1,175.0,,0 1 0
1215,Pelle Moda,159.95,111.96,0 1 0
1216,Z Zegna,175.0,175.0,0 1 0
1217,Oliver Gal,169.0,,0 1 0
1218,BCBG,178.0,,0 1 0
1219,Alex Evenings,169.0,169.0,0 1 0
1220,Supreme,175.0,,0 1 0
1221,Roberto Collina,188.0,141.0,0 1 0
1222,Moschino,178.0,178.0,0 1 0
1223,MARIA BLACK,170.0,170.0,0 1 0
1224,iCanvas,189.99,189.99,0 1 0
1225,Ray-Ban,178.0,124.6,0 1 0
1226,Diesel,178.0,89.0,0 1 0
1227,Ted Baker,185.0,185.0,0 1 0
1228,Paul Smith,187.0,187.0,0 1 0
1229,Creed,185.0,185.0,0 1 0
1230,Modway,169.0,126.75,0 1 0
1231,David Tate,159.95,159.95,0 1 0
1232,Todd Snyder,168.0,83.98,0 1 0
1233,Rebecca Minkoff,175.0,175.0,0 1 0
1234,Kith,180.0,,0 1 0
1235,Ann Demeulemeester,184.0,115.0,0 1 0
1236,Boss Hugo Boss,179.0,125.0,0 1 0
1237,DL,189.0,189.0,0 1 0
1238,Nike,184.0,,0 1 0
1239,Bloomingdale's,186.0,74.4,0 1 0
1240,Marc Joseph,185.0,,0 1 0
1241,n:PHILANTHROPY,178.0,178.0,0 1 0
1242,Natori,178.0,178.0,0 1 0
1243,Ancient Greek Sandals,177.0,142.0,0 1 0
1244,Kate Spade New York,188.0,,0 1 0
1245,Nourison,179.0,,0 1 0
1246,Undercover,160.0,160.0,0 1 0
1247,Heron Preston,165.0,66.0,0 1 0
1248,adidas,170.0,170.0,0 1 0
1249,Young Versace,179.0,179.0,0 1 0
1250,Red Carter,180.0,75.6,0 1 0
1251,Supreme,160.0,,0 1 0
1252,Natori,188.0,188.0,0 1 0
1253,Supreme,174.0,,0 1 0
1254,Tommy Hilfiger,173.0,121.0,0 1 0
1255,Kith,185.0,,0 1 0
1256,adidas,159.0,,0 1 0
1257,Soulland,190.0,190.0,0 1 0
1258,Finders Keepers,160.0,84.0,0 1 0
1259,adidas,180.0,,0 1 0
1260,Ray-Ban,183.0,174.0,0 1 0
1261,Diesel,178.0,178.0,0 1 0
1262,Michael Kors,178.0,106.8,0 1 0
1263,Paul Smith,173.0,173.0,0 1 0
1264,Orlebar Brown,175.0,175.0,0 1 0
1265,Whistles,169.0,,0 1 0
1266,Hudson Park Collection,170.0,134.99,0 1 0
1267,Onia,175.0,175.0,0 1 0
1268,Berle,175.0,175.0,0 1 0
1269,Asics,169.0,,0 1 0
